Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,126359540,1618.6844911423643,3789380,48.5425211032349,565997,2769473,35.47736082085704,63972,0.8194908296386587,9997,
United States of America,Americas,29859706,9020.99,421936,127.47,71187,543003,164.05,6995,2.11,1280,Community transmission
Brazil,Americas,12404414,5835.74,533024,250.76,84245,307112,144.48,16798,7.9,3650,Community transmission
India,South-East Asia,11971624,867.51,372494,26.99,62714,161552,11.71,1797,0.13,312,Clusters of cases
Russian Federation,Europe,4519832,3097.17,62963,43.14,9088,97740,66.98,2710,1.86,336,Clusters of cases
France,Europe,4435057,6794.57,254228,389.48,41682,93884,143.83,2271,3.48,156,Community transmission
The United Kingdom,Europe,4329184,6377.14,37909,55.84,3865,126573,186.45,451,0.66,58,Community transmission
Italy,Europe,3512453,5809.37,156122,258.22,23834,107636,178.02,2994,4.95,380,Clusters of cases
Spain,Europe,3247738,6946.32,20139,43.07,0,74420,159.17,178,0.38,0,Community transmission
Turkey,Europe,3179115,3769.45,186421,221.04,30021,30923,36.67,964,1.14,151,Community transmission
Germany,Europe,2772401,3308.99,112885,134.73,17176,75870,90.55,1206,1.44,90,Community transmission
Colombia,Americas,2367337,4652.52,42911,84.33,7395,62645,123.12,874,1.72,126,Community transmission
Argentina,Americas,2291051,5069.17,56138,124.21,12936,55235,122.21,759,1.68,143,Community transmission
Poland,Europe,2250991,5947.67,192441,508.48,29266,51884,137.09,2584,6.83,131,Community transmission
Mexico,Americas,2219845,1721.71,31935,24.77,5303,200862,155.79,3643,2.83,651,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1846923,2198.9,53118,63.24,8120,62308,74.18,584,0.7,85,Community transmission
Ukraine,Europe,1644063,3759.25,97700,223.4,11932,31954,73.06,2013,4.6,203,Community transmission
South Africa,Africa,1544466,2604.11,7665,12.92,1387,52648,88.77,566,0.95,46,Community transmission
Czechia,Europe,1515029,14147.28,45482,424.71,4008,25874,241.61,1207,11.27,96,Community transmission
Peru,Americas,1512384,4586.89,60739,184.21,11919,51032,154.77,1135,3.44,201,Community transmission
Indonesia,South-East Asia,1492002,545.47,36214,13.24,4461,40364,14.76,917,0.34,198,Community transmission
Netherlands,Europe,1245007,7265.93,50672,295.72,8868,16450,96,189,1.1,29,Community transmission
Chile,Americas,969913,5073.77,44824,234.48,7586,22653,118.5,473,2.47,66,Community transmission
Canada,Americas,956655,2534.71,29586,78.39,5093,22826,60.48,209,0.55,36,Community transmission
Romania,Europe,932179,4845.59,39331,204.45,5869,22997,119.54,865,4.5,162,Community transmission
Belgium,Europe,866063,7472.75,27135,234.13,3,22870,197.33,165,1.42,5,Community transmission
Israel,Europe,831084,9601.76,4008,46.31,0,6165,71.23,81,0.94,0,Community transmission
Iraq,Eastern Mediterranean,827157,2056.45,37767,93.9,5062,14177,35.25,208,0.52,20,Community transmission
Portugal,Europe,820042,8042.22,2962,29.05,344,16827,165.02,65,0.64,8,Clusters of cases
Sweden,Europe,780018,7723.51,30393,300.94,0,13402,132.7,34,0.34,0,Community transmission
Philippines,Western Pacific,712442,650.15,56405,51.47,9595,13159,12.01,229,0.21,10,Community transmission
Pakistan,Eastern Mediterranean,649824,294.18,26689,12.08,4468,14158,6.41,359,0.16,67,Community transmission
